,Date Added,Task ID,Action,User,Date of Engagement,Status
0,2022-02-05T00:18:48.000Z,4x9,🏵 Attended Committee Call,3,2022-02-01,Approved
1,2022-02-11T17:48:01.000Z,4x9,🏵 Attended Committee Call,5,2022-02-09,Approved
2,2022-02-11T21:53:50.000Z,o41,🐦 Retweeted our tweet,4,2022-02-02,Approved
3,2022-02-05T00:19:57.000Z,vyn,📞 Attended DAO-Wide Call,3,2022-02-02,Approved
4,2022-02-11T17:47:40.000Z,4x9,🏵 Attended Committee Call,5,2022-02-10,Approved
5,2022-02-11T17:49:45.000Z,4x9,🏵 Attended Committee Call,5,2022-02-03,Approved
6,2022-02-05T00:19:17.000Z,xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",3,2022-01-27,Approved
7,2022-02-05T00:16:29.000Z,4x9,🏵 Attended Committee Call,3,2022-01-25,Approved
8,2022-02-05T00:22:19.000Z,fl8,⌗ Enter Movement Model Data (Governance Committee),3,2022-02-04,Approved
9,2022-02-11T15:40:57.000Z,4x9,🏵 Attended Committee Call,2,2022-02-11,Approved
10,2022-02-05T00:16:57.000Z,4x9,🏵 Attended Committee Call,3,2022-01-25,Approved
11,2022-02-11T15:41:31.000Z,4x9,🏵 Attended Committee Call,2,2022-02-10,Approved
12,2022-02-11T17:50:11.000Z,4x9,🏵 Attended Committee Call,5,2022-02-03,Approved
13,2022-02-05T00:19:40.000Z,4x9,🏵 Attended Committee Call,3,2022-02-02,Approved
14,2022-02-05T00:20:55.000Z,4x9,🏵 Attended Committee Call,3,2022-02-03,Approved
15,2022-02-11T21:53:13.000Z,0j9,🐦 Followed us on twitter,4,2022-01-05,Approved
16,2022-02-11T10:52:51.000Z,4x9,🏵 Attended Committee Call,mgd15,2022-02-10,Approved
17,2022-02-11T21:54:24.000Z,p3i,⌨️ Started Discord conversation,4,2022-02-09,Approved
18,2022-02-05T00:21:12.000Z,7an,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar)",3,2022-02-02,Approved
19,2022-02-05T00:17:26.000Z,4x9,🏵 Attended Committee Call,3,2022-01-26,Approved
20,2022-02-05T00:20:28.000Z,4x9,🏵 Attended Committee Call,3,2022-02-03,Approved
21,2022-02-11T17:48:47.000Z,vyn,📞 Attended DAO-Wide Call,5,2022-02-02,Approved
22,2022-02-05T00:22:02.000Z,qdn,🚚 Fundraising - create and deliver a marketing/outreach campaign,3,2022-02-03,Approved
